Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_22 MA_97,0.021563565251969855,1.5448683087619246,0.01061146358927331,58.0,3210.0,4936.0,0.0
MA_22 MA_98,-0.07856111726600062,1.6229634760806704,0.010663663519187514,58.0,3217.0,4936.0,0.0
MA_22 MA_99,0.019718740950189273,1.651785050715251,0.010729094610780676,56.0,3223.0,4936.0,0.0
MA_22 MA_100,0.018765881000636173,1.687075405447461,0.010729092995132623,54.0,3222.0,4936.0,0.0
MA_23 MA_33,0.15813983268521653,0.163585249606635,0.010054915199339142,190.0,2951.0,4936.0,0.0
MA_23 MA_34,0.36241322529416564,0.5444273325875169,0.010150760195935455,184.0,2968.0,4936.0,0.0
MA_23 MA_35,0.33835221128811155,0.8092947820486971,0.010162249235068534,174.0,2983.0,4936.0,0.0
MA_23 MA_36,0.5223397492456022,0.5655030518835986,0.010117341258397257,168.0,2979.0,4936.0,0.0
MA_23 MA_37,0.5441961442457169,0.5247379062936652,0.010344508223273773,162.0,2994.0,4936.0,0.0
MA_23 MA_38,0.5972223791760233,0.4173593391520638,0.010355570938462169,164.0,2996.0,4936.0,0.0
MA_23 MA_39,0.6516484955397523,0.8118703910276379,0.01037208993435405,164.0,3001.0,4936.0,0.0
MA_23 MA_40,0.42539841618273405,0.7825785784796067,0.010133544871672163,156.0,3004.0,4936.0,0.0
MA_23 MA_41,0.4494257887696482,0.6410924716461737,0.010141010185172227,154.0,3014.0,4936.0,0.0
MA_23 MA_42,0.24579623275114562,0.7362565742702027,0.010235313935849826,144.0,3030.0,4936.0,0.0
MA_23 MA_43,0.2827180736452533,0.6918888459799428,0.010279416689815146,136.0,3038.0,4936.0,0.0
MA_23 MA_44,0.23632001321888546,0.5746300801264306,0.010269854085239992,134.0,3037.0,4936.0,0.0
MA_23 MA_45,0.251080205057945,0.6418024917008891,0.010268665937417,126.0,3034.0,4936.0,0.0
MA_23 MA_46,0.2193179925595558,0.6359802796613758,0.010273726845146911,122.0,3042.0,4936.0,0.0
MA_23 MA_47,0.1583608525596813,0.6486531624081167,0.010256456455914888,122.0,3038.0,4936.0,0.0
MA_23 MA_48,0.19673498805410788,0.5669160477531265,0.010235039897492526,124.0,3036.0,4936.0,0.0
MA_23 MA_49,0.26357536436225865,0.7207122482184729,0.010255525582921199,118.0,3044.0,4936.0,0.0
MA_23 MA_50,0.24462134837198912,0.6130963372463583,0.010301720027996996,118.0,3052.0,4936.0,0.0
MA_23 MA_51,0.23437114313081134,0.7645817167151534,0.010302331034440752,110.0,3073.0,4936.0,0.0
MA_23 MA_52,0.28377804272967333,0.7768477977039894,0.010308269314962027,108.0,3075.0,4936.0,0.0
MA_23 MA_53,0.22163270014242248,0.813020640704488,0.010290699588971709,110.0,3085.0,4936.0,0.0
MA_23 MA_54,0.18491874990833782,0.9034768752686,0.010297431135340238,108.0,3112.0,4936.0,0.0
MA_23 MA_55,0.1849187499083377,0.870646793746187,0.010297431135340245,104.0,3129.0,4936.0,0.0
MA_23 MA_56,-0.015857939058415385,1.174813868491825,0.010305948018882377,100.0,3147.0,4936.0,0.0
MA_23 MA_57,0.044852828602165606,1.409269415182326,0.010321583600711068,94.0,3156.0,4936.0,0.0
MA_23 MA_58,0.04485282860216829,1.5238144447874693,0.010321583600711075,92.0,3157.0,4936.0,0.0
MA_23 MA_59,0.00550954417303441,1.4125604689485178,0.010329515738206927,92.0,3163.0,4936.0,0.0
MA_23 MA_60,0.049271777141355395,1.2220418389312262,0.010338114075845822,86.0,3175.0,4936.0,0.0
MA_23 MA_61,0.041895673071291425,1.0811247075836303,0.010338674083633459,82.0,3176.0,4936.0,0.0
MA_23 MA_62,0.08008165834768484,0.9125864687673337,0.010345778909169032,82.0,3175.0,4936.0,0.0
MA_23 MA_63,-0.012516661771172341,1.033614680825937,0.01032649994649636,82.0,3171.0,4936.0,0.0
MA_23 MA_64,-0.18583723894094462,0.8790826952512001,0.010475707942356196,80.0,3164.0,4936.0,0.0
MA_23 MA_65,-0.15121638592237124,0.7072468799430875,0.010486166796217083,80.0,3162.0,4936.0,0.0
MA_23 MA_66,-0.18260759683193312,0.6973663426117478,0.010460695792582695,82.0,3153.0,4936.0,0.0
MA_23 MA_67,-0.13885308012135647,0.7018318425996468,0.010471257819133184,80.0,3158.0,4936.0,0.0
MA_23 MA_68,-0.13885308012135572,0.6043784631482985,0.010471257819133191,78.0,3151.0,4936.0,0.0
MA_23 MA_69,-0.13885308012135508,0.7322811510149163,0.010471257819133188,80.0,3155.0,4936.0,0.0
MA_23 MA_70,-0.14337847067521264,0.7843973825320154,0.01045103166028513,78.0,3153.0,4936.0,0.0
